NAME,MASS,R,A,PER,MULT,DENSITY
55 Cnc e,8.379934157,2.079994509,0.0154393,0.736546,1,4.173
Kepler-48 c,14.60939399,2.709995271,0.0851485,9.67395,1,4.01
Kepler-68 b,8.321392337,2.307940341,0.0617749,5.398763,1,3.32
Kepler-48 b,3.939845405,1.920434669,0.0532027,4.778,1,3.23
Kepler-424 b,244.7902995,9.975992851,0.0436419,3.3118644,1,1.74
Kepler-106 b,0.457716306,0.819925731,0.0657994,6.16486,1,1.26
Kepler-18 c,17.28922366,5.489990627,0.0752115,7.64159,1,0.59
HAT-P-13 b,272.3942613,14.35870432,0.0426946,2.91625,1,0.499
Kepler-109 b,5.786455263,2.369993259,0.0689299,6.48163,1,0.3
Kepler-20 e,0.558089148,0.867225388,0.063351,6.098493,1,0
61 Vir b,5.108902029,,0.05006,4.215,1,
BD -08 2823 b,14.60081295,,0.0558236,5.6,1,
GJ 163 b,10.76635553,,0.0606753,8.631,1,
GJ 581 b,15.85965276,,0.0406125,5.36865,1,
GJ 581 e,1.949665072,,0.028459,3.14945,1,
GJ 667 C b,5.560233399,,0.0504277,7.1999,1,
GJ 876 d,5.853959511,,0.0208066,1.93778,1,
HD 10180 c,13.19110558,,0.0641175,5.75962,1,
HD 125612 c,18.45456183,,0.0522124,4.15474,1,
HD 181433 b,7.542773421,,0.0800943,9.3743,1,
HD 187123 b,162.1042696,,0.042091,3.0965828,1,
HD 215497 b,6.628065431,,0.0465952,3.93404,1,
HD 217107 b,445.2992106,,0.0750282,7.1268163,1,
HD 40307 b,4.102090785,,0.0468927,4.3115,1,
HD 40307 c,6.720804319,,0.0800702,9.62,1,
HD 47186 b,22.62949618,,0.0498411,4.0845,1,
HD 69830 b,10.05851437,,0.0781916,8.6669998,1,
HD 7924 b,8.696956227,,0.0566417,5.39792,1,
HIP 14810 b,1231.351857,,0.0692271,6.673859,1,
HIP 57274 b,11.62280773,,0.0712798,8.1352,1,
KIC 11442793 b,2.391055138,1.311450746,0.0761616,7.008151,1,
KIC 11442793 c,1.703751291,1.188151957,0.088103,8.719375,1,
Kepler-101 b,36.67571914,5.869986283,0.0450089,3.487691,1,
Kepler-101 c,2.507652518,1.330001609,0.0648349,6.029809,1,
Kepler-107 b,3.707839279,1.559998684,0.0423212,3.179997,1,
Kepler-107 c,4.237289972,1.809992581,0.0564705,4.901425,1,
Kepler-107 d,1.179843319,1.069998092,0.0780099,7.958203,1,
Kepler-111 b,3.747884172,1.579995506,0.043745,3.341815,1,
Kepler-112 b,5.75273492,2.359994848,0.080928,8.408878,1,
Kepler-115 b,1.259790088,1.089998276,0.0351175,2.403679,1,
Kepler-115 c,6.639538611,2.599990334,0.0846204,8.990889,1,
Kepler-116 b,11.23179796,3.419994529,0.0643964,5.968734,1,
Kepler-118 b,4.593721302,1.959991162,0.0751093,7.518496,1,
Kepler-119 b,12.64798878,3.59999955,0.0352966,2.422082,1,
Kepler-119 c,0.688282723,0.919998391,0.050338,4.125103,1,
Kepler-120 b,5.101306212,2.149994594,0.0668458,6.312501,1,
Kepler-121 b,5.686088777,2.339998026,0.0422983,3.177422,1,
Kepler-122 b,5.686088777,2.339998026,0.0629312,5.766193,1,
Kepler-124 b,0.304310677,0.729998321,0.0443423,3.410493,1,
Kepler-125 b,5.786455263,2.369993259,0.0506571,4.164389,1,
Kepler-125 c,0.319157798,0.739998973,0.0629914,5.774464,1,
Kepler-130 b,0.994775528,1.019998191,0.0812393,8.457458,1,
Kepler-132 b,1.81470107,1.209998261,0.0658943,6.178196,1,
Kepler-132 c,2.201398075,1.279998346,0.0675669,6.414914,1,
Kepler-133 b,4.12570456,1.760000527,0.0791285,8.129976,1,
Kepler-134 b,4.694945892,1.999996014,0.0596222,5.317429,1,
Kepler-135 b,4.237289972,1.809992581,0.0646392,6.00253,1,
Kepler-137 b,3.504500211,1.470001778,0.0811044,8.436387,1,
Kepler-140 b,3.808618926,1.610001947,0.0429776,3.25427,1,
