NAME,A,PER,ECC,MASS,R,MSTAR,RSTAR,VSINI
#,au,day,,mjupiter,rjupiter,msun,rsun,km/s
GJ3470b,0.0356088,3.336649,0,0.0440093,0.374365,0.541,0.503,
Kepler-273c,0.0783802,8.014927,,0.0146122,0.176644,,0.815,
Kepler-266b,0.0689878,6.61833,,0.0194307,0.221251,,1.028,
Kepler-223b,0.0742116,7.384108,,0.0125062,0.150772,,1.017,
HAT-P-44b,0.0507459,4.301219,0.272,0.352,1.242,0.942,0.949,0.2
WASP-100b,0.0457351,2.849375,0,2.03,1.69,1.57,2,12.8
TrES-2b,0.0355765,2.47063,0,1.20071,1.224,0.983,1.003,2
HD102195b,0.0479747,4.113775,0,0.452799,,0.87,0.937994,2.6
HD75289b,0.047858,3.509267,0.034,0.46004,,1.187,1.23372,4.13632
HD185269b,0.0765701,6.8378503,0.295952,0.954212,,1.28,2.59,6.1
WASP-7b,0.0604573,4.954658,0,0.919279,0.915,1.2,1.236,17
WASP-41b,0.0404959,3.052401,0,0.932493,1.2,0.95,0.9,1.6
BD-103166b,0.0437823,3.48777,0.019,0.429903,,0.92,0.745254,0.921575
Kepler-304c,0.0596111,5.315946,,0.0162325,0.193594,,0.687,
Kepler-303b,0.0304113,1.937055,,0.00192504,0.0794005,,0.485,
WASP-44b,0.0347371,2.4238039,0,0.889836,1.14,0.951,0.927,3.2
Kepler-286c,0.0448402,3.468095,,0.00871939,0.122223,,0.863,
CoRoT-12b,0.0401409,2.828042,0.07,0.91918,1.44,1.078,1.116,1
CoRoT-1b,0.0253191,1.5089557,0,1.02979,1.49,0.95,1.11,5.2
HD125612c,0.0522124,4.15474,0.27499,0.0580667,,1.1,1.0426,2.1
Kepler-267b,0.0438489,3.353728,,0.0146122,0.176644,,0.555,
GJ581b,0.0406125,5.36865,0.031,0.0499019,,0.31,0.299,
Kepler-173b,0.0514597,4.263742,,0.00711292,0.115086,,0.949,
Kepler-446c,0.0247723,3.036179,0,0.00452953,0.101,0.22,0.24,
Kepler-301c,0.0603792,5.419026,,0.00829825,0.120439,,0.9,
HD189733b,0.0309953,2.21857567,0,1.1436,1.138,0.806,0.756,3.5
Kepler-285c,0.0659546,6.186676,,0.00436179,0.0999197,,0.808,
Kepler-286b,0.0289196,1.796302,,0.00621274,0.110625,,0.863,
Kepler-134c,0.0914787,10.105785,,0.00656354,0.11241,,1.176,
Kepler-126b,0.0938169,10.495711,,0.0123086,0.135605,,1.358,
WASP-72b,0.036575,2.216726,0,1.40771,1.01,1.327,1.71,6
Kepler-135b,0.0646392,6.00253,,0.0133325,0.161477,,1.275,
Kepler-9d,0.0266925,1.592851,0,0.0121773,0.146311,1,1.1,
Kepler-49b,0.0598092,7.2037945,,0.0224607,0.242446,0.55,0.53,
WASP-73b,0.0551807,4.08722,0,1.88059,1.16,1.34,2.07,6.1
WASP-67b,0.0517914,4.61442,0,0.41931,1.4,0.87,0.87,2.1
Kepler-32b,0.0520435,5.90124,0,0.0165128,0.1963,0.54,0.53,
CoRoT-26b,0.052477,4.20474,0,0.479479,1.26,1.09,1.79,2
HAT-P-12b,0.0383737,3.2130598,0,0.210804,0.959,0.73,0.701,0.5
Kepler-82d,0.0349155,2.382961,,0.0130508,0.157909,,0.945,
Kepler-355b,0.0969854,11.03189,,0.0107805,0.130252,,1.066,
Kepler-220c,0.0848919,9.034199,,0.0117295,0.140066,,0.666,
Kepler-243b,0.0625614,5.715442,,0.0190864,0.218574,,0.842,
Kepler-220b,0.05062,4.159807,,0.00137963,0.0722634,,0.666,
HATS-2b,0.0229834,1.354133,0,1.34915,1.168,0.882,0.898,1.5
WASP-29b,0.0456587,3.922727,0.03,0.242991,0.792,0.825,0.808,1.5
OGLE-TR-182b,0.0513517,3.9791,0,1.0245,1.13,1.14,1.14,0
Kepler-394b,0.0783155,8.005013,,0.0119197,0.142742,,1.132,
Kepler-218b,0.0461345,3.619337,,0.0112762,0.132037,,1.063,
Kepler-54c,0.0822829,12.0717249,,0.00602351,0.109635,0.51,0.5,
Kepler-33b,0.0677431,5.66793,0,0.0128331,0.155094,1.291,1.82,
Kepler-391b,0.0744302,7.416755,,0.0305853,0.285485,,3.569,
Kepler-55e,0.0542683,4.617534,,0.011604,0.138282,,0.619,
Kepler-444f,0.0813861,9.740486,0.29,0.00108547,0.0675,0.758,0.752,
Kepler-336b,0.0313231,2.024823,,0.00313003,0.0909983,,1.304,
WASP-1b,0.0385203,2.5199449,0,0.918,1.516,1.2,1.517,5.77
XO-5b,0.0508651,4.1877537,0,1.15251,1.03,1,1.05,1.8
HAT-P-3b,0.0388252,2.899703,0,0.595712,0.899,0.928,0.833,0.5
Kepler-252c,0.0959074,10.848463,,0.0160511,0.19181,,0.549,
Kepler-247b,0.0436956,3.33616,,0.0121773,0.146311,,0.768,
Kepler-282b,0.0860552,9.220524,,0.00302153,0.0901062,,0.904,
Kepler-102b,0.0551367,5.28696,0,0,0.041927,0.8,0.74,0.5
